title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,location,tags,url
单价5万！业主急售！装修保养好 双卫 东三环双井,510,万,53125元/㎡,2室2厅2卫,96,北,低层(共31层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,北 近地铁 多人关注,https://bj.58.com/ershoufang/4211567382011907x.shtml?auction=201&hpType=60&entry=102&position=19&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_19&from=from_esf_List_search&index=19
西直门，金融街，交通大学，南北通透，全明格局，满五,555,万,76132元/㎡,3室1厅1卫,72.9,南北,高层(共6层),1992,交大东路31号院,海淀 交通大学 交大东路31号,热门小区 南北通透 优势户型,https://bj.58.com/ershoufang/4224335193759759x.shtml?auction=220&hpType=60&entry=102&position=20&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_20&from=from_esf_List_search&index=20
近商场，地铁，小区环境好绿化高楼栋间距广,570,万,60529元/㎡,2室1厅1卫,94.17,东北,低层(共26层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,东北 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4273857425170444x.shtml?auction=201&hpType=60&entry=102&position=21&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_21&from=from_esf_List_search&index=21
真！650萬，朝阳精装现房 3站到望京！温榆河畔！老湾河！,1400,万,51095元/㎡,4室2厅3卫,274,南北,,2023,朝阳一墅(新房),朝阳 望京 东苇路与金港南路交叉口约500米处,动静分离 大户型 车位充足,https://bj.58.com/ershoufang/3566054798121989x.shtml?auction=220&hpType=60&entry=102&position=22&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_22&from=from_esf_List_search&index=22
林肯公园 住宅  两居室 首付   起,505,万,54707元/㎡,2室1厅1卫,92.31,南北,低层(共20层),2010,林肯公园C区,大兴 亦庄 文化园西路8号,南北 近地铁,https://bj.58.com/ershoufang/3754649197110285x.shtml?auction=201&hpType=60&entry=102&position=23&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_23&from=from_esf_List_search&index=23
双井百环家园2室1厅 满五年   诚意出售,449,万,46879元/㎡,2室1厅1卫,95.78,西南,高层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4249972836506630x.shtml?auction=201&hpType=60&entry=102&position=24&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_24&from=from_esf_List_search&index=24
东三环双井地铁口05年小区南向三居满五  商品房有钥匙随时看,573,万,45585元/㎡,3室1厅1卫,125.7,东南,低层(共26层),2005,百环家园,朝阳 双井 广渠路66号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4241240930951180x.shtml?auction=201&hpType=60&entry=102&position=25&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_25&from=from_esf_List_search&index=25
东城九三 （一.口.价）2层 南北田字格三居 明厨明卫看房方,640,万,79366元/㎡,3室1厅1卫,80.64,南北,共4层,1976,和平里七区,东城 和平里 青年沟路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4237443015994374x.shtml?auction=201&hpType=60&entry=102&position=26&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_26&from=from_esf_List_search&index=26
亦庄天街万科金域东郡三居诚心出售,536,万,58843元/㎡,3室2厅1卫,91.09,南北,低层(共9层),2016,金域东郡,大兴 亦庄 四合路3号,南北 优势户型 价格优惠 随时可看,https://bj.58.com/ershoufang/4005021576817668x.shtml?auction=220&hpType=60&entry=102&position=27&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_27&from=from_esf_List_search&index=27
急售，有钥匙随时看房。电梯叠拼别墅，客厅南向有阳台双卧朝南,470,万,28080元/㎡,3室2厅3卫,167.38,南北,中层(共6层),2007,北京洋房,昌平 北七家 七星路216号,南北 满五年 车位充足 多人关注,https://bj.58.com/ershoufang/3996853856066570x.shtml?auction=201&hpType=60&entry=102&position=28&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_28&from=from_esf_List_search&index=28
望京新城高层全南向三居双卫，视野佳无遮挡，满五  仅有,528,万,39865元/㎡,3室1厅2卫,132.45,南,低层(共27层),1997,望京西园四区,朝阳 望京 阜通西大街,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4234459371347968x.shtml?auction=201&hpType=60&entry=102&position=29&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_29&from=from_esf_List_search&index=29
海淀三环半 2015次新小区 南北电梯两居 人车分流诚心出售,398,万,54521元/㎡,2室1厅1卫,73,南北,低层(共15层),2016,五福玲珑居,海淀 四季青 彰化路,南北 有电梯 近地铁 户型方正,https://bj.58.com/ershoufang/4234195126606858x.shtml?auction=201&hpType=60&entry=102&position=30&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_30&from=from_esf_List_search&index=30
黄庄地铁口 70年住宅 单价低 看房方便有钥匙,550,万,43582元/㎡,3室2厅1卫,126.2,东北,中层(共20层),2002,理想大厦,海淀 中关村 知春路111号,东北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/3875040378596353x.shtml?auction=201&hpType=60&entry=102&position=31&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_31&from=from_esf_List_search&index=31
紫竹桥北洼西里正规三居室 带明厅 看房随时,499,万,63975元/㎡,3室1厅1卫,78,东西,中层(共18层),1998,北洼西里小区(海淀),海淀 北洼路 车道沟南路,东西 满二年 近地铁 户型方正,https://bj.58.com/ershoufang/4131384781663243x.shtml?auction=201&hpType=60&entry=102&position=32&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_32&from=from_esf_List_search&index=32
陶然亭西城永安路小区 电梯直达南向两居室 满五一套 看房方便,420,万,63111元/㎡,2室1厅1卫,66.55,南,低层(共16层),1981,永安路北小区,西城 虎坊桥 永安路北1-北6号,南 近地铁 热门小区 房东急售,https://bj.58.com/ershoufang/4330912271719424x.shtml?auction=220&hpType=60&entry=102&position=33&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_33&from=from_esf_List_search&index=33
高楼层西向观国贸全景 复式两居室 动静分离 住宅小区天然气,390,万,30273元/㎡,3室1厅2卫,128.83,东西,高层(共36层),2001,SOHO现代城,朝阳 CBD 建国路88号,东西 满五年 近地铁,https://bj.58.com/ershoufang/4330698114362376x.shtml?auction=201&hpType=60&entry=102&position=34&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_34&from=from_esf_List_search&index=34
西直门，金融街，交通大学，南北通透，全明格局，满五,550,万,74325元/㎡,3室1厅1卫,74,东南,低层(共6层),1992,交大东路31号院,海淀 交通大学 交大东路31号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4308210076459020x.shtml?auction=201&hpType=60&entry=102&position=35&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_35&from=from_esf_List_search&index=35
红山郡 满五年 首付五十  必看三居室 边户明卫,220,万,25636元/㎡,3室1厅1卫,85.82,南北,低层(共21层),2009,红山郡,丰台 长辛店 鑫博西路4号,南北 满五年 多人关注,https://bj.58.com/ershoufang/4279831962098698x.shtml?auction=201&hpType=60&entry=102&position=36&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_36&from=from_esf_List_search&index=36
业主关系好（博洛尼新装）双阳台 带车位 公园社区 万科物业,359,万,44066元/㎡,2室1厅1卫,81.47,南,高层(共22层),2015,公园悦府(一区),昌平 回龙观 龙锦一街,南 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3998194642332676x.shtml?auction=201&hpType=60&entry=102&position=37&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_37&from=from_esf_List_search&index=37
三环内 国贸 南向不临街两居 价大谈 10层板楼采光好,880,万,84373元/㎡,2室2厅2卫,104.3,南,高层(共10层),2019,富力城(D区),朝阳 双井 东三环中路35号,南 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4123684925725709x.shtml?auction=201&hpType=60&entry=102&position=38&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_38&from=from_esf_List_search&index=38
望京集中供暖交通便捷南向采光好 精装修 商圈成熟随时能看,700,万,68440元/㎡,2室1厅1卫,102.28,南,低层(共26层),2010,上京新航线,朝阳 望京 望京北路,南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/3568549903342599x.shtml?auction=220&hpType=60&entry=102&position=39&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_39&from=from_esf_List_search&index=39
龙跃苑东二区客厅挑高3 ，南北通透大落地窗,270,万,26476元/㎡,3室1厅1卫,101.98,南北,高层(共6层),2008,龙跃苑(东二区),昌平 回龙观 良庄西街,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3699048327818253x.shtml?auction=201&hpType=60&entry=102&position=40&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_40&from=from_esf_List_search&index=40
258萬 五环精装现房 地铁100  一站可达草桥,312,万,35057元/㎡,2室2厅1卫,89,南北,,2026,首创禧悦兴城,大兴 观音寺 北京市大兴区地铁大兴新城站A口西侧约200米禧悦兴城,私密性好 厨卫全明 客餐厅相连 多轨交,https://bj.58.com/ershoufang/4282392767638542x.shtml?auction=220&hpType=60&entry=102&position=41&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_41&from=from_esf_List_search&index=41
2000年电梯楼有钥匙，全南向，我爱我家专属，不让绿中介卖,260,万,31704元/㎡,2室1厅1卫,82.01,南,中层(共30层),2000,宝隆公寓,丰台 科技园区 百强大道6号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4202955983544320x.shtml?auction=201&hpType=60&entry=102&position=42&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_42&from=from_esf_List_search&index=42
崇文门崇文门西大街 高楼层 视野好 近地铁2居,350,万,65470元/㎡,2室1厅1卫,53.46,西北,高层(共12层),1980,崇文门西大街小区,东城 崇文门 崇文门西大街,西北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4259583016935432x.shtml?auction=201&hpType=60&entry=102&position=43&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_43&from=from_esf_List_search&index=43
农科院   皂君东里（社科院宿舍） 南北三居 高楼层采光好,475,万,60665元/㎡,3室1厅1卫,78.3,南北,高层(共6层),1985,皂君东里,海淀 皂君庙 学院南路49号,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4329253689383942x.shtml?auction=201&hpType=60&entry=102&position=44&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_44&from=from_esf_List_search&index=44
意式独栋，328平450萬，阳光城君山墅,450,万,13712元/㎡,5室2厅3卫,328.2,南北,共3层,2010,阳光城君山墅,密云 密云水库别墅区 密溪路33号,南北 房东发布 满二年 绿化率高,https://bj.58.com/ershoufang/4071285490396166x.shtml?auction=201&hpType=60&entry=102&position=45&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_45&from=from_esf_List_search&index=45
万年花城玫瑰碗(万年花城三期) 满五   商品住宅 商圈成熟,395,万,42773元/㎡,2室1厅1卫,92.35,东西,低层(共14层),2008,万年花城玫瑰碗(万年花城三期),丰台 玉泉营 芳菲路88号,东西 热门小区 近地铁 配套成熟,https://bj.58.com/ershoufang/4136874143149057x.shtml?auction=220&hpType=60&entry=102&position=46&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_46&from=from_esf_List_search&index=46
着急卖。东二环 建外 嘉华世纪 南北向两居 双卫 看房随时,735,万,48071元/㎡,2室2厅2卫,152.9,南北,中层(共21层),2004,嘉华世纪,朝阳 建外大街 建国门外大街18号,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4286827015465995x.shtml?auction=201&hpType=60&entry=102&position=47&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_47&from=from_esf_List_search&index=47
天通苑北 不临街东边户 全明户型  电梯洋房,265,万,29944元/㎡,2室2厅1卫,88.5,南北,低层(共8层),2014,金色漫香苑,昌平 北七家 天权路2号,南北 满五年 采光较好,https://bj.58.com/ershoufang/4309285242626056x.shtml?auction=201&hpType=60&entry=102&position=48&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_48&from=from_esf_List_search&index=48
崇文门西大街 有电梯 南北通透 近地铁  好房必看,399,万,74095元/㎡,3室0厅1卫,53.85,南北,高层(共13层),1979,崇文门西大街小区,东城 崇文门 崇文门西大街,南北 近地铁 户型方正,https://bj.58.com/ershoufang/4291319100353548x.shtml?auction=201&hpType=60&entry=102&position=49&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_49&from=from_esf_List_search&index=49
北京香颂 东南向2居 双卧朝南 采光无遮挡 地铁望京西站,680,万,63552元/㎡,2室2厅1卫,107,东南,中层(共21层),2007,北京香颂,朝阳 望京 南湖西园南路,东南 满五年 近地铁,https://bj.58.com/ershoufang/3548992230253568x.shtml?auction=201&hpType=60&entry=102&position=50&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_50&from=from_esf_List_search&index=50
有电梯 交通便捷 正规商品房 中间楼层 超低密度 双卫,580,万,35524元/㎡,3室2厅2卫,163.27,南北,中层(共10层),2011,香花畦家园,顺义 后沙峪 裕华路,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4325080254536716x.shtml?auction=201&hpType=60&entry=102&position=51&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_51&from=from_esf_List_search&index=51
业主诚意出售 订房了 价格优惠,399,万,61385元/㎡,1室1厅1卫,65,西南,低层(共28层),2001,万科星园,朝阳 奥林匹克公园 安立路,西南 热门小区 近地铁 新上小区,https://bj.58.com/ershoufang/4333218973245449x.shtml?auction=220&hpType=60&entry=102&position=52&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_52&from=from_esf_List_search&index=52
万达北人家园2室1厅,245,万,31286元/㎡,2室1厅1卫,78.31,南北,高层(共27层),2017,北人家园,通州 新华大街 新华东街,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4326337324051463x.shtml?auction=201&hpType=60&entry=102&position=53&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_53&from=from_esf_List_search&index=53
美景东方二期西南向大两居室中间楼层满五  随时看房,615,万,47797元/㎡,2室1厅1卫,128.67,西南,中层(共20层),2006,美景东方,朝阳 华威桥 松榆南路38号,西南 满五年 近地铁,https://bj.58.com/ershoufang/3856421034732552x.shtml?auction=201&hpType=60&entry=102&position=54&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_54&from=from_esf_List_search&index=54
2008年精装电梯房三居 韩庄子小区 916号双地铁,459,万,40186元/㎡,3室1厅1卫,114.22,西南,低层(共24层),2008,韩庄子西里,丰台 看丹桥 丰台南路,西南 满五年 近地铁,https://bj.58.com/ershoufang/3048284429688846x.shtml?auction=201&hpType=60&entry=102&position=55&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_55&from=from_esf_List_search&index=55
九龙山 小区内性价比   挂大阳台,1000,万,62112元/㎡,3室2厅2卫,161,南,低层(共30层),2006,珠江帝景(B区),朝阳 大望路 广渠路28号,南 近地铁,https://bj.58.com/ershoufang/3618355176823818x.shtml?auction=201&hpType=60&entry=102&position=56&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_56&from=from_esf_List_search&index=56
东城区 南二环 精装南北通透两居室 满屋   业主诚意出售,285,万,53341元/㎡,2室1厅1卫,53.43,南北,中层(共6层),1980,定安里,东城 永定门 定安路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4164722770337807x.shtml?auction=201&hpType=60&entry=102&position=57&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_57&from=from_esf_List_search&index=57
东城东二环，朝阳门外站，98年南北通透带客厅中楼层封闭管理,546,万,74580元/㎡,2室1厅1卫,73.21,南北,中层(共6层),1998,王家园胡同35号院,东城 东四十条 王家园胡同35号,经纪人力荐 房东急售 随时可看 南北通透,https://bj.58.com/ershoufang/3553214619870222x.shtml?auction=220&hpType=60&entry=102&position=58&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_58&from=from_esf_List_search&index=58
北航南门 知春嘉园，东南北三居 高层无遮挡，视野开阔，精装修,799,万,76096元/㎡,3室1厅1卫,105,东南,高层(共19层),1998,知春嘉园,海淀 知春路 知春路,东南 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4285521530350605x.shtml?auction=201&hpType=60&entry=102&position=59&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_59&from=from_esf_List_search&index=59
清盘！检漏，268萬，现房，副中心运河商务区安贞，低密度洋房,329,万,45069元/㎡,2室2厅1卫,73,东西,,2024,金地北京壹街区,通州 北关 通怀路与北堤路交叉口西北角,南北通透 客餐厅相连 户型方正 低容积,https://bj.58.com/ershoufang/3048196258439183x.shtml?auction=220&hpType=60&entry=102&position=60&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_60&from=from_esf_List_search&index=60
双井苹果社区南区2室1厅,599,万,62357元/㎡,2室1厅1卫,96.06,南,低层(共22层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4237112696171534x.shtml?auction=201&hpType=60&entry=102&position=61&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_61&from=from_esf_List_search&index=61
南二环外 西罗园 临地铁 中间层南北两居,220,万,37607元/㎡,2室1厅1卫,58.5,南北,中层(共6层),1989,西罗园一区,丰台 西罗园 西罗园路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4214685660113920x.shtml?auction=201&hpType=60&entry=102&position=62&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_62&from=from_esf_List_search&index=62
南北三居，三卧都有阳光，高层视野，三公园观景，得房高无浪费,888,万,68308元/㎡,3室2厅2卫,130,南北,中层(共27层),2008,鹿港嘉苑,朝阳 花家地 望京西路50号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4217221583314945x.shtml?auction=201&hpType=60&entry=102&position=63&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_63&from=from_esf_List_search&index=63
宏城花园 医疗配套成熟 带电梯 小三居 交通便利,218,万,23970元/㎡,3室1厅1卫,90.95,南北,共5层,2006,宏城花园,顺义 石门 顺于路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4106736281873418x.shtml?auction=201&hpType=60&entry=102&position=64&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_64&from=from_esf_List_search&index=64
紫竹桥化工大学两居 电梯房价格能大谈 价格有惊喜 有钥匙,370,万,55892元/㎡,2室2厅1卫,66.2,东西,中层(共11层),1995,紫竹院98号院,海淀 车道沟 紫竹院98号,东西 热门小区 价格优惠 房东急售,https://bj.58.com/ershoufang/3097457849623553x.shtml?auction=220&hpType=60&entry=102&position=65&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_65&from=from_esf_List_search&index=65
八里庄北里 小区管理好 中层 南向两居室,245,万,42447元/㎡,2室1厅1卫,57.72,南北,中层(共6层),1994,八里庄北里(南区),朝阳 石佛营 石佛营路,南北 满二年 近地铁 户型方正,https://bj.58.com/ershoufang/4210655162129412x.shtml?auction=201&hpType=60&entry=102&position=66&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_66&from=from_esf_List_search&index=66
潘家园地铁华威西里正规三居室满五年  商品房,299,万,39296元/㎡,3室1厅1卫,76.09,南北,中层(共6层),1995,华威西里,朝阳 潘家园 华威西里甲42号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3199090137326597x.shtml?auction=201&hpType=60&entry=102&position=67&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_67&from=from_esf_List_search&index=67
新上必卖房源东城东中街南北电梯三居室，楼层好，税少诚心卖,625,万,80314元/㎡,3室1厅1卫,77.82,南北,低层(共14层),1990,东中街小区(西区),东城 东四十条 东中街113号,南北 有电梯 近地铁 采光较好,https://bj.58.com/ershoufang/4306693758066694x.shtml?auction=201&hpType=60&entry=102&position=68&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_68&from=from_esf_List_search&index=68
西湖新村 三层刚需小三居  南北通透 业主着急出售,248,万,16757元/㎡,3室2厅2卫,148,南北,中层(共6层),2001,西湖新村,昌平 北七家 立汤路,南北 满五年 绿化率高 采光较好,https://bj.58.com/ershoufang/4118181399043087x.shtml?auction=201&hpType=60&entry=102&position=69&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_69&from=from_esf_List_search&index=69
急售！楼下即是地铁口，南北向两居室，有钥匙，随时看房,239,万,25421元/㎡,2室1厅1卫,94.02,南北,高层(共6层),2004,天赐良园(东区),通州 物资学院路 物资学院路6号,南北 满五年 近地铁 绿化率高,https://bj.58.com/ershoufang/3938394360570880x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_70&from=from_esf_List_search&index=70
88平 满五 电梯房 领秀慧谷C区(一区) 南北通透 2室1,459,万,51900元/㎡,2室1厅1卫,88.44,南北,低层(共9层),2014,领秀慧谷C区(一区),昌平 回龙观 农学院北路9号,热门小区 近地铁 南北通透,https://bj.58.com/ershoufang/3894992904481805x.shtml?auction=220&hpType=60&entry=102&position=71&kwtype=filter&now_time=1763890695&typecode=220&spread=filtersearch_c&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_71&from=from_esf_List_search&index=71
正南北通透，双卧朝南，客厅带窗户，中间楼层，精装可拎包入住,370,万,50082元/㎡,3室1厅1卫,73.88,南北,中层(共6层),1993,花家地小区,朝阳 花家地 北四环东路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4004908841561088x.shtml?auction=201&hpType=60&entry=102&position=72&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_72&from=from_esf_List_search&index=72
望京北 花梨坎地铁15号线 精装修拎包入住 出入便利 东坝,188,万,25803元/㎡,2室1厅1卫,72.86,南北,低层(共15层),2017,枫泉花园,顺义 后沙峪 裕华路31号,南北 有电梯 近地铁 户型方正,https://bj.58.com/ershoufang/4316718523948039x.shtml?auction=201&hpType=60&entry=102&position=73&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_73&from=from_esf_List_search&index=73
海淀黄庄地铁旁70年住宅房   楼龄新 可居家,459,万,45018元/㎡,2室1厅1卫,101.96,,高层(共20层),1999,理想大厦,海淀 中关村 知春路111号,东 满五年 近地铁 多人关注,https://bj.58.com/ershoufang/3876392174264321x.shtml?auction=201&hpType=60&entry=102&position=74&kwtype=filter&now_time=1763890695&typecode=201&spread=filtersearch_p&epauction=&stats_key=c175cbed-099c-4568-aacf-f5e21ea13517_74&from=from_esf_List_search&index=74
360萬.客户清退.低密精装电梯洋房 配套齐全 人大副,428,万,45053元/㎡,3室2厅2卫,95,南北,,2026,中交·伴山观岚,石景山 五里坨 黑石头路,南北通透 厨卫全明 主卧套房 低容积,https://bj.58.com/ershoufang/3122936520450054x.shtml?auction=201&hpType=60&entry=102&position=0&kwtype=filter&now_time=1763890702&typecode=201&spread=filtersearch_p&epauction=&stats_key=b3bbca4b-d1db-43ff-8252-2d30914d64d9_0&from=from_esf_List_search&index=0
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,428,万,41325元/㎡,2室1厅1卫,103.57,,中层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4300980829821964x.shtml?auction=201&hpType=60&entry=102&position=1&kwtype=filter&now_time=1763890702&typecode=201&spread=filtersearch_p&epauction=&stats_key=b3bbca4b-d1db-43ff-8252-2d30914d64d9_1&from=from_esf_List_search&index=1
