title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
单价5 买三环边全南两居 高层采光视野无遮挡 得房率82%,599,万,62396元/㎡,2室1厅1卫,96,南,低层(共26层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,南 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4227186041921551x.shtml?auction=201&hpType=60&entry=102&position=18&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_18&from=from_esf_List_search&index=21,2025-11-28 12:20:30
新上！CBD华腾园东南两居 精装修  出行方便 带地下车位,480,万,54048元/㎡,2室1厅1卫,88.81,东南,低层(共28层),2000,华腾园,朝阳,劲松,朝阳 劲松 东三环南路54号,东南 热门小区 配套成熟 价格优惠,https://bj.58.com/ershoufang/4289607522967565x.shtml?auction=220&hpType=60&entry=102&position=19&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_19&from=from_esf_List_search&index=22,2025-11-28 12:20:30
亦庄河西区金域东郡精装修南北通透两居室看房随时中楼层急售急售,370,万,49334元/㎡,2室1厅1卫,75,南北,低层(共28层),2015,金域东郡,大兴,亦庄,大兴 亦庄 四合路3号,南北 满五年,https://bj.58.com/ershoufang/4332287162821647x.shtml?auction=201&hpType=60&entry=102&position=20&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_20&from=from_esf_List_search&index=23,2025-11-28 12:20:30
双井百环家园3室1厅,555,万,44153元/㎡,3室1厅1卫,125.7,南,低层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4229924746779657x.shtml?auction=201&hpType=60&entry=102&position=21&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_21&from=from_esf_List_search&index=24,2025-11-28 12:20:30
林肯公园两居室，次顶层,515,万,55484元/㎡,2室2厅1卫,92.82,南,高层(共28层),2014,林肯公园C区,大兴,亦庄,大兴 亦庄 文化园西路8号,南 近地铁,https://bj.58.com/ershoufang/3811077183774720x.shtml?auction=201&hpType=60&entry=102&position=22&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_22&from=from_esf_List_search&index=26,2025-11-28 12:20:30
百环家园西南两居室 业主诚意出售,439,万,48279元/㎡,2室1厅1卫,90.93,西南,高层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 多人关注,https://bj.58.com/ershoufang/3461254806609933x.shtml?auction=201&hpType=60&entry=102&position=23&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_23&from=from_esf_List_search&index=27,2025-11-28 12:20:30
双井百环家园3室1厅,699,万,50051元/㎡,3室1厅2卫,139.66,西南,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4186002493579266x.shtml?auction=201&hpType=60&entry=102&position=24&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_24&from=from_esf_List_search&index=28,2025-11-28 12:20:30
聚焦好房 奥森旁 南向二居室 户型方正 视野好,578,万,68282元/㎡,2室2厅1卫,84.65,南,高层(共19层),2008,上元君庭,朝阳,奥林匹克公园,朝阳 奥林匹克公园 安立路28号,南 价格优惠 随时可看,https://bj.58.com/ershoufang/3048214309150727x.shtml?auction=220&hpType=60&entry=102&position=25&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_25&from=from_esf_List_search&index=29,2025-11-28 12:20:30
3XX望京新城东南向两居不临街看小区里中高层采光好，满五,358,万,39898元/㎡,2室1厅1卫,89.73,东南,中层(共30层),1997,望京西园四区,朝阳,望京,朝阳 望京 阜通西大街,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3957156673789962x.shtml?auction=201&hpType=60&entry=102&position=26&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_26&from=from_esf_List_search&index=30,2025-11-28 12:20:30
东四环，朝阳公园旁， 楼层好，满五,208,万,36569元/㎡,2室1厅1卫,56.88,南北,中层(共6层),1988,南十里居(1-14号楼),朝阳,酒仙桥,朝阳 酒仙桥 酒仙桥路,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4015291691998213x.shtml?auction=201&hpType=60&entry=102&position=27&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_27&from=from_esf_List_search&index=31,2025-11-28 12:20:30
远见名苑，朝东一居室，满五年一套，落地窗，安静宜居,289,万,60209元/㎡,1室1厅1卫,48,东,低层(共24层),2014,远见名苑(一期),西城,广安门外,西城 广安门外 红居街,东 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4246969915878412x.shtml?auction=201&hpType=60&entry=102&position=28&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_28&from=from_esf_List_search&index=32,2025-11-28 12:20:30
（必看好房~地铁100m）东坝 南北通透78平两居 看房方便,265,万,33871元/㎡,2室2厅1卫,78.24,南北,低层(共16层),2011,金泰丽富嘉园(30号院),朝阳,东坝,朝阳 东坝 东坝中路30号,南北 满二年 近地铁 车位充足,https://bj.58.com/ershoufang/4288087241710594x.shtml?auction=201&hpType=60&entry=102&position=29&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_29&from=from_esf_List_search&index=33,2025-11-28 12:20:30
垡头祈东家园一期3室1厅,245,万,25828元/㎡,3室1厅1卫,94.86,南北,低层(共28层),2017,燕保祈东家园(一期),朝阳,垡头,朝阳 垡头 化工路,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4251459178880004x.shtml?auction=201&hpType=60&entry=102&position=30&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_30&from=from_esf_List_search&index=34,2025-11-28 12:20:30
南二环.开阳里三区.精装修电梯房有钥匙.出小区即到景风门地铁,450,万,49181元/㎡,2室2厅1卫,91.5,东,高层(共22层),2003,开阳里三区,丰台,右安门,丰台 右安门 开阳里三街,东 房东急售 随时可看 近地铁,https://bj.58.com/ershoufang/4204658627272710x.shtml?auction=220&hpType=60&entry=102&position=31&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_31&from=from_esf_List_search&index=35,2025-11-28 12:20:30
万达富力金禧花园2室2厅,385,万,43259元/㎡,2室2厅1卫,89,西北,中层(共22层),2012,富力金禧花园,通州,新华大街,通州 新华大街 新华南路,西北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4209192391941126x.shtml?auction=201&hpType=60&entry=102&position=32&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_32&from=from_esf_List_search&index=36,2025-11-28 12:20:30
新宫地铁房 南庭新苑南区2居室 高楼层,199,万,28875元/㎡,2室1厅1卫,68.92,南北,高层(共15层),2009,南庭新苑南区,丰台,新宫,丰台 新宫 槐房西路,南北 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4319616054111234x.shtml?auction=201&hpType=60&entry=102&position=33&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_33&from=from_esf_List_search&index=37,2025-11-28 12:20:30
双地铁 全明大三居 精装 户型方正餐客分离,315,万,24079元/㎡,3室2厅2卫,130.82,南北,高层(共6层),2008,龙锦苑东五区,昌平,霍营,昌平 霍营 龙锦三街,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4336346667801603x.shtml?auction=201&hpType=60&entry=102&position=34&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_34&from=from_esf_List_search&index=38,2025-11-28 12:20:30
天通苑北 不临街东边户 全明户型  电梯洋房,265,万,29944元/㎡,2室2厅1卫,88.5,南北,低层(共8层),2014,金色漫香苑,昌平,北七家,昌平 北七家 天权路2号,南北 满五年 采光较好,https://bj.58.com/ershoufang/4309285242626056x.shtml?auction=201&hpType=60&entry=102&position=35&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_35&from=from_esf_List_search&index=39,2025-11-28 12:20:30
南北通透 次新社区 边户明厨卫 安静不临街 满五一套,699,万,77238元/㎡,3室1厅1卫,90.5,南北,低层(共28层),2009,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南北 近地铁 采光较好,https://bj.58.com/ershoufang/4109564342099968x.shtml?auction=201&hpType=60&entry=102&position=36&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_36&from=from_esf_List_search&index=40,2025-11-28 12:20:30
白家庄东里，楼龄新，近地铁，1995年电梯,323,万,51442元/㎡,2室1厅1卫,62.79,东南,中层(共12层),1995,白家庄东里,朝阳,团结湖,朝阳 团结湖 姚家园路,东南 热门小区 价格优惠 随时可看,https://bj.58.com/ershoufang/3376465648213002x.shtml?auction=220&hpType=60&entry=102&position=37&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_37&from=from_esf_List_search&index=41,2025-11-28 12:20:30
天通苑西三区新上两居室 满五   看房方便 业主诚售,210,万,24762元/㎡,2室1厅1卫,84.81,西,低层(共32层),2003,天通西苑三区,昌平,天通苑,昌平 天通苑 立汤路,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4029366847757323x.shtml?auction=201&hpType=60&entry=102&position=38&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_38&from=from_esf_List_search&index=42,2025-11-28 12:20:30
蒲黄榆刘家窑东里南北无遮挡  低楼层钥匙房,210,万,35770元/㎡,2室1厅1卫,58.71,南北,低层(共6层),1988,刘家窑东里,丰台,刘家窑,丰台 刘家窑 刘家窑路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4122379125156869x.shtml?auction=201&hpType=60&entry=102&position=39&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_39&from=from_esf_List_search&index=43,2025-11-28 12:20:30
万科物业直营 华府二期南向大两居  优户型,399,万,44676元/㎡,2室2厅1卫,89.31,南北,高层(共27层),2014,金域华府东(金域华府二期),昌平,龙域,昌平 龙域 龙域北街1号,南北 近地铁,https://bj.58.com/ershoufang/3388095097266178x.shtml?auction=201&hpType=60&entry=102&position=40&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_40&from=from_esf_List_search&index=44,2025-11-28 12:20:30
小区经典户型 户型方正 动静分离      看房随时,465,万,46389元/㎡,2室1厅2卫,100.24,东南,高层(共28层),2000,望京西园三区,朝阳,望京,朝阳 望京 望京街,东南 有电梯 近地铁 户型方正,https://bj.58.com/ershoufang/4310653964606465x.shtml?auction=201&hpType=60&entry=102&position=41&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_41&from=from_esf_List_search&index=45,2025-11-28 12:20:30
通州北苑 世纪星城  2室  2厅 .带书房,335,万,32033元/㎡,3室2厅1卫,104.58,南北,低层(共26层),2009,世纪星城,通州,果园,通州 果园 通朝大街323号,南北 满五年 近地铁,https://bj.58.com/ershoufang/3689447778672643x.shtml?auction=201&hpType=60&entry=102&position=42&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_42&from=from_esf_List_search&index=46,2025-11-28 12:20:30
全明格局 一层   固定车位免费 自带充电桩 南北通透 满五,550,万,74325元/㎡,3室1厅1卫,74,东南,低层(共6层),1992,交大东路31号院,海淀,交通大学,海淀 交通大学 交大东路31号,东南 热门小区 南北通透 优势户型,https://bj.58.com/ershoufang/4308210076459020x.shtml?auction=220&hpType=60&entry=102&position=43&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_43&from=from_esf_List_search&index=47,2025-11-28 12:20:30
北苑望春园 2010年交房入住 南北全明两居  交易仅,439,万,45170元/㎡,2室1厅1卫,97.19,南北,低层(共25层),2010,望春园,朝阳,北苑,朝阳 北苑 锦芳北街,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3806908243731469x.shtml?auction=201&hpType=60&entry=102&position=44&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_44&from=from_esf_List_search&index=48,2025-11-28 12:20:30
东二环 劲松八区 两居室,218,万,40000元/㎡,2室1厅1卫,54.5,东西,低层(共6层),1983,劲松西社区(劲松八区),朝阳,劲松,朝阳 劲松 劲松路,东西 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3356991856417803x.shtml?auction=201&hpType=60&entry=102&position=45&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_45&from=from_esf_List_search&index=49,2025-11-28 12:20:30
武夷   运河商务区 新华联运河湾 6号线地铁 京杭运河,435,万,40230元/㎡,2室1厅2卫,108.13,南,低层(共26层),2010,运河湾(南区),通州,武夷花园,通州 武夷花园 潞通大街198号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3434658863782916x.shtml?auction=201&hpType=60&entry=102&position=46&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_46&from=from_esf_List_search&index=50,2025-11-28 12:20:30
丽泽前泥洼三区地铁300  户型方正 南北通透，看房随时,369,万,40842元/㎡,3室1厅1卫,90.35,南北,低层(共6层),1995,前泥洼三区,丰台,丰益桥,丰台 丰益桥 东货场路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4288024349843469x.shtml?auction=201&hpType=60&entry=102&position=47&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_47&from=from_esf_List_search&index=51,2025-11-28 12:20:30
购物方便 中间好楼层 大两居 满五 南北通透 密度低,205,万,20099元/㎡,2室2厅1卫,102,南北,中层(共6层),2002,温泉花园(B区),昌平,北七家,昌平 北七家 东北路,南北 满五年 户型方正,https://bj.58.com/ershoufang/4318231949437960x.shtml?auction=201&hpType=60&entry=102&position=48&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_48&from=from_esf_List_search&index=52,2025-11-28 12:20:30
万年花城三期 商品房满五  ，近地铁，配套设施齐全,395,万,42773元/㎡,2室1厅1卫,92.35,东西,低层(共14层),2006,万年花城玫瑰碗(万年花城三期),丰台,玉泉营,丰台 玉泉营 芳菲路88号,东西 热门小区 近地铁 配套成熟,https://bj.58.com/ershoufang/4136874143149057x.shtml?auction=220&hpType=60&entry=102&position=49&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_49&from=from_esf_List_search&index=53,2025-11-28 12:20:30
万达富力金禧花园2室2厅，南北通透，高楼层，通风采光好,485,万,54667元/㎡,2室1厅1卫,88.72,南北,高层(共27层),2015,富力金禧花园,通州,新华大街,通州 新华大街 新华南路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3795791062966274x.shtml?auction=201&hpType=60&entry=102&position=50&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_50&from=from_esf_List_search&index=54,2025-11-28 12:20:30
新上    单价2.5万十号线宋家庄大两居采光好满五诚心卖,180,万,26746元/㎡,2室1厅1卫,67.3,东北,高层(共6层),1996,石榴园北里小区,丰台,石榴庄,丰台 石榴庄 光彩路26号,东北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4238461465468930x.shtml?auction=201&hpType=60&entry=102&position=51&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_51&from=from_esf_List_search&index=55,2025-11-28 12:20:30
新上 户型方正 CBD永安里建外 高层 双面采光 落地窗,590,万,29980元/㎡,2室2厅1卫,196.8,西北,高层(共25层),2004,建外SOHO西区,朝阳,建外大街,朝阳 建外大街 东三环中路39号,西北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3048167293378562x.shtml?auction=201&hpType=60&entry=102&position=52&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_52&from=from_esf_List_search&index=56,2025-11-28 12:20:30
纯地上三层，7 面宽，一层带长辈房，6.7 挑空，双主卧室！,950,万,40630元/㎡,5室2厅4卫,233.82,南北,共3层,2013,温哥华森林,昌平,北七家,昌平 北七家 立汤路,南北 满五年 车位充足,https://bj.58.com/ershoufang/3325837924574212x.shtml?auction=201&hpType=60&entry=102&position=53&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_53&from=from_esf_List_search&index=57,2025-11-28 12:20:30
集中供暖 中间楼层 南北通透 商品房 双卫生间 居住密度低,499,万,38848元/㎡,3室2厅2卫,128.45,南北,共4层,2010,金色漫香林(一期),大兴,亦庄,大兴 亦庄 小羊坊东路1号,南北 满五年 采光较好,https://bj.58.com/ershoufang/3578781243710478x.shtml?auction=201&hpType=60&entry=102&position=54&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_54&from=from_esf_List_search&index=58,2025-11-28 12:20:30
万科物业推荐好房  万科星园西南一居出售观景奥森,399,万,61197元/㎡,1室2厅1卫,65.2,西南,低层(共28层),2004,万科星园,朝阳,奥林匹克公园,朝阳 奥林匹克公园 安立路,西南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/4325150263009281x.shtml?auction=220&hpType=60&entry=102&position=55&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_55&from=from_esf_List_search&index=59,2025-11-28 12:20:30
皂君庙皂君东里3室1厅,540,万,73171元/㎡,3室1厅1卫,73.8,东西,低层(共6层),1985,皂君东里,海淀,皂君庙,海淀 皂君庙 学院南路49号,东西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4279955559721989x.shtml?auction=201&hpType=60&entry=102&position=56&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_56&from=from_esf_List_search&index=60,2025-11-28 12:20:30
1室2厅1卫1厨1阳,638,万,79661元/㎡,1室2厅1卫,80.09,南北,中层(共25层),2019,富力城(D区),朝阳,双井,朝阳 双井 东三环中路35号,南北 近地铁,https://bj.58.com/ershoufang/3048213009080322x.shtml?auction=201&hpType=60&entry=102&position=57&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_57&from=from_esf_List_search&index=61,2025-11-28 12:20:30
广安门远见国际公寓全南一居，楼下就是地铁,280,万,57389元/㎡,1室1厅1卫,48.79,南,低层(共26层),2010,远见国际公寓,西城,广安门外,西城 广安门外 广安门外大街182号,南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4312354592530446x.shtml?auction=201&hpType=60&entry=102&position=58&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_58&from=from_esf_List_search&index=62,2025-11-28 12:20:30
罗马花园 高层 全明大两居 全天采光 可观中国尊和西山 。,780,万,56282元/㎡,2室1厅2卫,138.59,西南,高层(共25层),1995,罗马花园,朝阳,惠新西街,朝阳 惠新西街 惠新西街,西南 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4334844559301632x.shtml?auction=201&hpType=60&entry=102&position=59&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_59&from=from_esf_List_search&index=63,2025-11-28 12:20:30
新上 二环边龙潭湖公园旁芳城园一区 东南把边三居 随时看房！,408,万,42589元/㎡,3室1厅1卫,95.8,东南,高层(共27层),1993,芳城园(一区),丰台,方庄,丰台 方庄 方庄路,东南 有电梯 近地铁 采光较好,https://bj.58.com/ershoufang/3359369830965258x.shtml?auction=201&hpType=60&entry=102&position=60&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_60&from=from_esf_List_search&index=64,2025-11-28 12:20:30
亚运村新荣家园2室1厅,650,万,58229元/㎡,2室1厅1卫,111.63,西南,高层(共27层),2000,新荣家园,朝阳,亚运村,朝阳 亚运村 大屯北路,西南 热门小区 房东急售 随时可看,https://bj.58.com/ershoufang/4303486344797184x.shtml?auction=220&hpType=60&entry=102&position=61&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_61&from=from_esf_List_search&index=65,2025-11-28 12:20:30
美澜湾 禧悦兴城 团河 220 大两居 临地铁  220诚售,220,万,24890元/㎡,2室1厅1卫,88.39,南北,中层(共18层),2018,首创美澜湾(E区),大兴,观音寺,大兴 观音寺 福礼路4号,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3751607293747202x.shtml?auction=201&hpType=60&entry=102&position=62&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_62&from=from_esf_List_search&index=66,2025-11-28 12:20:30
知春路西土城，北航南蓟门里小区中间层小三居室，满五公房诚心卖,360,万,59801元/㎡,3室1厅1卫,60.2,东西,中层(共6层),1986,蓟门里社区(东区),海淀,蓟门桥,海淀 蓟门桥 西土城路,东西 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3283102442775566x.shtml?auction=201&hpType=60&entry=102&position=63&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_63&from=from_esf_List_search&index=67,2025-11-28 12:20:30
三环13年次新板楼 首城聚焦必看两居 双卧采光无遮挡,650,万,78598元/㎡,2室2厅1卫,82.7,东南,低层(共20层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,东南 满五年 近地铁,https://bj.58.com/ershoufang/4278635881896967x.shtml?auction=201&hpType=60&entry=102&position=64&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_64&from=from_esf_List_search&index=68,2025-11-28 12:20:30
清盘  ！通州副中心，精装电梯洋房，客厅大面宽，可看实体房,252,万,32201元/㎡,2室2厅1卫,78.26,南北,中层(共8层),2024,金地北京壹街区(2号院),通州,宋庄,通州 宋庄 林韵东路2号,南北 唯一住房 次新房 户型方正,https://bj.58.com/ershoufang/3985069099019268x.shtml?auction=201&hpType=60&entry=102&position=65&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_65&from=from_esf_List_search&index=69,2025-11-28 12:20:30
回龙观 云趣园一区  紧邻地铁8号线 南北复式 随时看房,325,万,23483元/㎡,4室2厅2卫,138.4,南北,高层(共6层),2000,云趣园(一区),昌平,回龙观,昌平 回龙观 龙禧二街,南北 满二年 近地铁 多人关注,https://bj.58.com/ershoufang/4291282134522888x.shtml?auction=201&hpType=60&entry=102&position=66&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_66&from=from_esf_List_search&index=70,2025-11-28 12:20:30
海淀嘉郡 2居室 精装 85平 电梯房 看房方便,335,万,39412元/㎡,2室1厅1卫,85,南,中层(共16层),2016,海淀嘉郡,海淀,上庄,海淀 上庄 上庄路,南 热门小区 配套成熟 优势户型,https://bj.58.com/ershoufang/4111092172086274x.shtml?auction=220&hpType=60&entry=102&position=67&kwtype=filter&now_time=1764303631&typecode=220&spread=filtersearch_c&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_67&from=from_esf_List_search&index=71,2025-11-28 12:20:30
业主关系好（博洛尼新装）双阳台 带车位 公园社区 万科物业,359,万,44066元/㎡,2室1厅1卫,81.47,南,高层(共22层),2015,公园悦府(一区),昌平,回龙观,昌平 回龙观 龙锦一街,南 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3998194642332676x.shtml?auction=201&hpType=60&entry=102&position=68&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_68&from=from_esf_List_search&index=72,2025-11-28 12:20:30
林肯公园高层南北两居,470,万,50338元/㎡,2室1厅1卫,93.37,南北,高层(共20层),2014,林肯公园C区,大兴,亦庄,大兴 亦庄 文化园西路8号,南北 近地铁 户型方正,https://bj.58.com/ershoufang/4179510574341125x.shtml?auction=201&hpType=60&entry=102&position=69&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_69&from=from_esf_List_search&index=73,2025-11-28 12:20:30
九棵树(家乐福)K2玉兰湾2室1厅,360,万,39388元/㎡,2室1厅1卫,91.4,南,低层(共27层),2016,K2玉兰湾,通州,九棵树,通州 九棵树 怡乐北街,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4095558860774408x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1764303631&typecode=201&spread=filtersearch_p&epauction=&stats_key=568eafc1-3b8f-4889-ad58-58375974b130_70&from=from_esf_List_search&index=74,2025-11-28 12:20:30
（清盘，168萬）万科开发，精装西山墅，现房，随时看,195,万,10834元/㎡,4室2厅3卫,180,南北,,2021,万科七橡墅(新房),房山,房山周边,房山 房山周边 云峰寺路万科七橡墅营销中心,南北通透 三房朝南 厨卫全明 轨交房,https://bj.58.com/ershoufang/3048195640549381x.shtml?auction=201&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764303637&typecode=201&spread=filtersearch_p&epauction=&stats_key=fbe718bd-b668-44ec-95d7-636b372c26ea_0&from=from_esf_List_search&index=0,2025-11-28 12:20:35
